Ticker,Current Price,All-Time High,ATH %Chg,6-Month High,Recent-High %Chg,5-Year High,Current P/E,Avg 5-Year P/E,Fair Value (TTM),Fair Value %Chg,Avg P/E × Fwd EPS,"MACD (12,26,9)",MACD Signal,RSI (1 yr),Live Price Time
tmus,250.31,271.8267,-0.07915594752097573,271.8267,-0.07915594752097573,271.8267,23.6365,38.24943125241768,405.0614769631032,0.6182392911314097,496.9557355470367,4.13893834484665,3.0156828465115146,63.63795336809394,2025-08-14 16:24:00
adbe,348.58,688.37,-0.49361535220884123,464.11,-0.248928055848829,688.37,22.3163,33.117158493380416,517.290015666602,0.48399224185725526,765.1388298310611,-8.43941591831532,-9.348893597392351,43.20781715266513,2025-08-14 16:05:00
goog,203.82,207.2245,-0.016429041932783106,204.16,-0.0016653605015674148,207.2245,21.7292,27.465511282109077,257.62649582618315,0.2639902650681148,292.51044170558987,5.566373555674886,5.307423954028614,71.1319800941711,2025-08-14 16:28:00
ibm,237.11,292.8003,-0.19019891714591816,292.8003,-0.19019891714591816,292.8003,38.3053,23.256274752176967,143.95634071597544,-0.39287106947840483,276.0217481511628,-10.765707097012665,-9.312549076347018,26.54984998588742,2025-08-14 16:18:00
hood,110.71,114.63,-0.03419698159295125,114.63,-0.03419698159295125,114.63,56.198,24.26096785162354,47.79410666769837,-0.568294583436922,50.5768396802796,4.75300577427177,5.205256289460955,60.32445578833415,2025-08-14 16:29:00
cflt,17.85,93.6,-0.8092948717948718,34.94,-0.4891242129364624,93.6,-19.193548387096776,1.654349462106231,-1.5385449997587948,-1.0861929971853665,0.7689416299869761,-2.057182406724422,-1.8411268149495,34.01262212098925,2025-08-14 16:28:00
lulu,195.19,511.29,-0.6182401376909387,372.44,-0.4759155837181828,511.29,13.2782,43.83622709255652,644.3925382605809,2.3013604091427884,675.0515954891149,-11.122803520462071,-12.341601017579675,36.257062071803496,2025-08-14 16:28:00
intc,23.86,62.0851,-0.6156887884532681,27.39,-0.12887915297553856,62.0851,-5.0020964360587,142.25791207195806,-678.5702405832399,-29.43965802947359,94.11783462680745,0.16642574273328137,-0.24978442323338101,66.23127749765408,2025-08-14 16:29:00
