Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Value ($),Run_Label
AAPL,call,2025-09-19,245,20.89,202.67,222.94,1.55,3.73,99,30,10.0,140.87,26.96,0.1169,-0.0303,1.54,1.58,1.55,2025-06-10 19:59:59,2025-06-10 19:59:59,208,100,240.87,Short-Term Conservative
AAPL,call,2025-09-19,240,18.42,202.67,222.94,2.04,4.91,99,30,10.0,140.5,26.86,0.1469,-0.0355,2.04,2.08,2.04,2025-06-10 19:59:59,2025-06-10 19:59:59,2985,100,240.5,Short-Term Conservative
AAPL,call,2025-10-17,245,20.89,202.67,222.94,2.26,5.37,127,30,10.0,137.67,26.43,0.1488,-0.0316,2.27,2.31,2.26,2025-06-10 19:59:59,2025-06-10 19:59:59,108,100,237.67,Short-Term Conservative
AAPL,call,2025-10-17,240,18.42,202.67,222.94,2.89,6.77,127,30,10.0,134.15,26.48,0.1818,-0.0362,2.92,2.96,2.89,2025-06-10 19:59:59,2025-06-10 19:59:59,443,100,234.15,Short-Term Conservative
AAPL,put,2025-09-19,160,21.05,202.67,182.4,1.71,2.89,99,30,-10.0,69.14,37.07,-0.0868,-0.029,1.71,1.75,1.71,2025-06-10 19:59:59,2025-06-10 19:59:59,24,40,67.66,Long-Term Aggressive (Put)
AAPL,put,2025-09-19,165,18.59,202.67,182.4,2.18,3.85,99,30,-10.0,76.42,35.99,-0.1088,-0.033,2.15,2.19,2.18,2025-06-10 19:59:59,2025-06-10 19:59:59,74,40,70.57,Long-Term Aggressive (Put)
AAPL,put,2025-10-17,160,21.05,202.67,182.4,2.29,3.92,127,30,-10.0,71.03,35.96,-0.1017,-0.0275,2.29,2.33,2.29,2025-06-10 19:59:59,2025-06-10 19:59:59,154,40,68.41,Long-Term Aggressive (Put)
AAPL,put,2025-10-17,165,18.59,202.67,182.4,3.05,4.97,127,30,-10.0,63.05,34.95,-0.1244,-0.0307,2.82,2.86,3.05,2025-06-10 19:59:59,2025-06-10 19:59:59,29,40,65.22,Long-Term Aggressive (Put)
